Stats{Desc=denemeler Ticks, average=1008.9, sum=201780.0, sumsq=2.28334474E8, sd=352.72544022356044, n=200, min=279.0, max=2673.0, stdErr=24.94145506790898, ms=6356}
Stats{Desc=denemeler Ticks, average=1898.845, sum=379769.0, sumsq=9.28296503E8, sd=1020.3311025195909, n=200, min=112.0, max=3926.0, stdErr=72.14830416471492, ms=16488}
Stats{Desc=denemeler Ticks, average=2118.48, sum=423696.0, sumsq=1.100034366E9, sd=1008.6133172423378, n=200, min=122.0, max=3988.0, stdErr=71.31973162171155, ms=16833}
Stats{Desc=denemeler Ticks, average=1944.54, sum=388908.0, sumsq=9.48967222E8, sd=984.0947672631809, n=200, min=120.0, max=3983.0, stdErr=69.58600832619925, ms=16434}
Stats{Desc=denemeler Ticks, average=1946.035, sum=389207.0, sumsq=9.55999811E8, sd=998.9677253829494, n=200, min=100.0, max=3961.0, stdErr=70.63768528047842, ms=16161}
Stats{Desc=denemeler Ticks, average=1797.47, sum=359494.0, sumsq=8.41492154E8, sd=990.691535084681, n=200, min=120.0, max=3926.0, stdErr=70.05247025224884, ms=17720}
Stats{Desc=denemeler Ticks, average=1858.075, sum=371615.0, sumsq=8.71617827E8, sd=954.0426701449398, n=200, min=122.0, max=3936.0, stdErr=67.46100416008075, ms=15976}
Stats{Desc=denemeler Ticks, average=1830.215, sum=366043.0, sumsq=8.94162321E8, sd=1061.4887898749334, n=200, min=112.0, max=3999.0, stdErr=75.05859214740677, ms=16593}
Stats{Desc=denemeler Ticks, average=1855.715, sum=371143.0, sumsq=9.08603143E8, sd=1051.12409500042, n=200, min=120.0, max=3966.0, stdErr=74.32569754433698, ms=16435}
Stats{Desc=denemeler Ticks, average=1887.975, sum=377595.0, sumsq=9.19610635E8, sd=1019.2141885717298, n=200, min=122.0, max=3992.0, stdErr=72.06932642206147, ms=16102}
Stats{Desc=denemeler Ticks, average=1870.79, sum=374158.0, sumsq=9.02651794E8, sd=1009.2057406867918, n=200, min=100.0, max=3977.0, stdErr=71.36162228520229, ms=16594}
Stats{Desc=denemeler Ticks, average=1717.55, sum=343510.0, sumsq=7.89803242E8, sd=1002.02719523973, n=200, min=122.0, max=3824.0, stdErr=70.85402246873497, ms=15456}
Stats{Desc=denemeler Ticks, average=1803.795, sum=360759.0, sumsq=8.76379075E8, sd=1064.8419671717731, n=200, min=112.0, max=3981.0, stdErr=75.29569758791838, ms=15887}
Stats{Desc=denemeler Ticks, average=2041.885, sum=408377.0, sumsq=1.080654475E9, sd=1113.6332054840966, n=200, min=112.0, max=3986.0, stdErr=78.74575913523167, ms=17291}
Stats{Desc=denemeler Ticks, average=1085.68, sum=54284.0, sumsq=7.0720916E7, sd=490.436350485515, n=50, min=385.0, max=2599.0, stdErr=69.358173833738, ms=4373}
Stats{Desc=denemeler Ticks, average=2086.825, sum=417365.0, sumsq=1.076349693E9, sd=1015.908576375239, n=200, min=108.0, max=3990.0, stdErr=71.83558434205031, ms=21707}
Stats{Desc=denemeler Ticks, average=2169.845, sum=433969.0, sumsq=1.166039181E9, sd=1061.8882304862536, n=200, min=122.0, max=3991.0, stdErr=75.08683686390134, ms=17425}
Stats{Desc=denemeler Ticks, average=1978.505, sum=395701.0, sumsq=9.78779649E8, sd=992.1380445645464, n=200, min=108.0, max=3893.0, stdErr=70.15475391847518, ms=15931}
Stats{Desc=denemeler Ticks, average=2012.605, sum=402521.0, sumsq=1.045842767E9, sd=1088.3738960776836, n=200, min=108.0, max=3997.0, stdErr=76.95965623829528, ms=17191}
Stats{Desc=denemeler Ticks, average=2100.735, sum=420147.0, sumsq=1.071517613E9, sd=974.2929531551785, n=200, min=121.0, max=3953.0, stdErr=68.89291540382939, ms=15756}
Stats{Desc=denemeler Ticks, average=1950.79, sum=390158.0, sumsq=9.66526706E8, sd=1015.9788239691658, n=200, min=122.0, max=3958.0, stdErr=71.84055159705308, ms=15751}
Stats{Desc=denemeler Ticks, average=978.51, sum=195702.0, sumsq=2.33390464E8, sd=458.8279802686263, n=200, min=441.0, max=3596.0, stdErr=32.444037624607304, ms=5674}
Stats{Desc=denemeler Ticks, average=978.235, sum=195647.0, sumsq=2.45655341E8, sd=522.2034777131212, n=200, min=403.0, max=3297.0, stdErr=36.925362025014614, ms=5676}
Stats{Desc=denemeler Ticks, average=2105.905, sum=421181.0, sumsq=1.088333123E9, sd=1005.9270311183969, n=200, min=120.0, max=3995.0, stdErr=71.12978250826697, ms=17387}
Stats{Desc=denemeler Ticks, average=2098.81, sum=419762.0, sumsq=1.062637376E9, sd=955.3780403062954, n=200, min=108.0, max=3986.0, stdErr=67.55542908972961, ms=16895}
Stats{Desc=denemeler Ticks, average=1827.835, sum=365567.0, sumsq=8.34605159E8, sd=914.4540111275888, n=200, min=122.0, max=3861.0, stdErr=64.66166323515566, ms=15214}
Stats{Desc=denemeler Ticks, average=1814.875, sum=362975.0, sumsq=9.20264757E8, sd=1146.3520990735137, n=200, min=100.0, max=3966.0, stdErr=81.05933428823145, ms=16718}
Stats{Desc=denemeler Ticks, average=1815.42, sum=363084.0, sumsq=8.89793074E8, sd=1076.5735677761047, n=200, min=112.0, max=3984.0, stdErr=76.12524702206788, ms=12643}
